sample,GIPS_scaled,GIPS_group
MB-0062,1.0,High
MB-0100,0.14814814814814814,Low
MB-0109,0.5555555555555556,Moderate
MB-0115,0.48148148148148145,Moderate
MB-0149,0.4074074074074074,Low
MB-0150,0.25925925925925924,Low
MB-0158,0.0,Low
MB-0159,0.1111111111111111,Low
MB-0163,0.7037037037037037,High
MB-0191,0.7777777777777778,High
MB-0200,0.5925925925925926,High
MB-0201,0.4444444444444444,Moderate
MB-0214,0.5185185185185185,Moderate
MB-0259,0.4074074074074074,Low
MB-0278,0.4444444444444444,Moderate
MB-0299,0.18518518518518517,Low
MB-0316,0.037037037037037035,Low
MB-0340,0.18518518518518517,Low
MB-0350,0.6666666666666666,High
MB-0372,0.6666666666666666,High
MB-0396,0.25925925925925924,Low
MB-0464,0.4074074074074074,Low
MB-0481,0.5555555555555556,Moderate
MB-0488,0.0,Low
MB-0500,0.7037037037037037,High
MB-0509,0.2962962962962963,Low
MB-0516,0.2962962962962963,Low
MB-0525,0.5925925925925926,High
MB-0539,0.07407407407407407,Low
MB-0543,0.2962962962962963,Low
MB-0581,0.7407407407407407,High
MB-0582,0.5185185185185185,Moderate
MB-0639,0.4074074074074074,Low
MB-0664,0.2962962962962963,Low
MB-0869,0.5925925925925926,High
MB-0874,0.4074074074074074,Low
MB-0901,0.37037037037037035,Low
MB-2645,0.2962962962962963,Low
MB-2718,0.5555555555555556,Moderate
MB-2753,0.18518518518518517,Low
MB-2771,0.5185185185185185,Moderate
MB-2827,0.6666666666666666,High
MB-2842,0.6296296296296297,High
MB-2846,0.4444444444444444,Moderate
MB-2849,0.2962962962962963,Low
MB-2912,0.6296296296296297,High
MB-2917,0.4074074074074074,Low
MB-3014,0.6666666666666666,High
MB-3046,0.4074074074074074,Low
MB-3057,0.5185185185185185,Moderate
MB-3058,0.48148148148148145,Moderate
MB-3063,0.5925925925925926,High
MB-3123,0.4074074074074074,Low
MB-3153,0.8518518518518519,High
MB-3165,0.4444444444444444,Moderate
MB-3211,0.5185185185185185,Moderate
MB-3218,0.5185185185185185,Moderate
MB-3277,0.4444444444444444,Moderate
MB-3297,0.4074074074074074,Low
MB-3363,0.2962962962962963,Low
MB-3396,0.7777777777777778,High
MB-3453,0.4074074074074074,Low
MB-3500,0.7037037037037037,High
MB-3502,0.18518518518518517,Low
MB-3706,0.48148148148148145,Moderate
MB-4024,0.4444444444444444,Moderate
MB-4146,0.3333333333333333,Low
MB-4235,0.07407407407407407,Low
MB-4254,0.5185185185185185,Moderate
MB-4303,0.8148148148148148,High
MB-4332,0.5555555555555556,Moderate
MB-4407,0.37037037037037035,Low
MB-4408,0.6296296296296297,High
MB-4417,0.5925925925925926,High
MB-4426,0.8518518518518519,High
